,text
66,have updated the code and rebased it so that the code comments above are broken sorry for that major changes the include without any snippets will include every snippet in the operation directory the level of the include will be derived from the parent block level
67,thanks did you miss some files when you made the update the new tests are failing for me because they can find the build generated snippets some operation directory
68,there went something completely wrong with the update so went down in the code dungeon and found some commits with loose endings
69,ve merged this into master thank you very much for the contribution we couldn have done this without your help thank you very much
70,rest docs code style is to only use final when it required
71,think this should be called operationblockmacro and the file itself should be called operation block macro rb
72,think we could use parent level to figure this out automatically
73,don think the macro should be called srd as that would seem to imply the rest docs will only ever have single block macro there doesn seem to be tradition of trying to namespace macro names in asciidoctor so tempted to go with operation instead
74,intrigued by this test what was the reasoning behind adding nothing would expect this to either produce an error or to include all of the snippets for particular operation my preference is for the latter but not set on that
75,think using fetch doc org core hash html method fetch would make this read bit better ruby attrs fetch snippets split
76,think using file join and some string interpolation would improve the readability here something like ruby file join params snippet dir params operation snippet adoc
77,use string interpolation here too
78,use string interpolation here too
79,this should be named tests to match the other tests classes
80,my preference would be to store the expected content in files in src test resources
81,now it adds every exiting snippet in the operation folder
82,thanks for the pr unfortunately the discussion in didn reach conclusion all of the proposed options including the one implemented here had some downsides am not convinced that the benefits of any of them outweigh the downsides so going to close this
83,sorry but don want to make that class public can you please open an issue and we can explore another solution suspect that mustache lambda will be the answer rest docs already has one for escaping characters in asciidoctor tables
84,thanks for the pr this looks good really like the simplicity of it do wonder if it might benefit from being hidden behind an abstraction though when was looking at had something like commandformatter in mind that would take list of strings each of which should be kept on one line the formatter could then either concatenate them with separators with separators or whatever someone wants to implement particular formatter could be used by default and could be configured using snippetconfigurer or by passing one into new overloaded methods on clidocumentation
85,thanks as for your additional remarks was thinking about injecting commandformatter object to both curlrequestsnippet and httpierequestsnippet and using it for printing the output but then realized that it not that simple let look at the example from the initial issue curl post header one one header two two alpha bravo some curl parameters are printed after newline and some are not post this means that there are actually two different separators in use here see two possible options for dealing with this injecting instances of commandformatter and passing parameters to one or the other constructing commandformatter object by passing two separators to it and then maintaining both parameter lists inside it option seems to be better for me but like to reach decision before implementing this what do you think
86,wonder if we could keep it simple and have the curl snippet be somewhat opinionated about where line breaks could go it could pass the following to the formatter curl post header one one header two two alpha bravo the formatter would treat each of those items as string that should not be broken onto multiple lines the formatter is then free to join those four strings in whatever way it deems appropriate keeping them all on one long line splitting it over lines etc
87,have created the commandformatter class and applied it to the curl and httpie snippets what do you think about it
88,ve updated the pr as we discussed please take look
89,thanks
90,thanks again for the pr this change is now in master
91,great thanks for the review
92,could you make this an interface please there could be single implementation provided out of the box something like concatenatingcommandformatter that takes separator as constructor argument
93,ok think managed to introduce the concatenatingcommandformatter class as you proposed
94,there should be an overloaded variant of this method that takes command formatter and attributes
95,there should be an overloaded variant of this method that takes command formatter and attributes
96,looks like this is only used in the tests don think it needed
97,the contract shouldn mention the use of separator the job of the formatter is simply to format number of elements into single string
98,the method description shouldn mention concatenation as that can just be an implementation detail the contract of format is to take number of elements and turn them into single string
99,this constructor should call super with all the other constructors calling this one
100,this should be final with its initialisation happening in the constructor
101,this should be final with its initialisation happening in the constructor
102,this constructor should call super with all the other constructors calling this one
103,prefer that the existing tests were largely unaffected by the introduction of the commandformatter that could be done by leaving the content assertions as they were but creating the snippet with single line formatter
104,this constructor should be deprecated and new constructor that takes commandformatter introduced
105,this constructor should be deprecated and new constructor that takes commandformatter introduced
106,you could use collectionutils isempty here
107,think prefer it if this were package private
108,think this static method would be better on clidocumentation be tempted to call it multiline or multilineformat
109,think this static method would be better on clidocumentation be tempted to call it singleline or singlelineformat
110,not sure we need this
111,if the static methods are moved this test could be simplified to just check that no elements results in an empty string it would be good to have similar test for null too
112,think this could be simplified to just test against single formatter with whatever separator too
113,think this could be simplified to just test against single formatter with whatever separator too
114,prefer that the existing tests were largely unaffected by the introduction of the commandformatter that could be done by leaving the content assertions as they were but creating the snippet with single line formatter
115,it good to have tests for the curl snippet with different command formatters but there nothing mockmvc specific about it so don think they belong here
116,it good to have tests for the httpie snippet with different command formatters but there nothing mockmvc specific about it so don think they belong here
117,it good to have tests for the curl snippet with different command formatters but there nothing rest assured specific about it so don think they belong here
118,just quick question about this one deprecating this constructor would mean that would have to touch every test in curlrequestsnippettests to switch to different constructor is that ok for you
119,was torn on this earlier when was reviewing the change but while annoying think it probably the right thing to do it what was getting at when said but creating the snippet with single line formatter in my comment on the tests below my motivation was that wanted the opinion on what the default formatter should be to be in single place clidocumentation seemed to make sense as it can then pass the default formatter into curlrequestsnippet and httpierequestsnippet was also envisaging further change where the default moves to snippetconfigurer and it ll apply it to the default curlrequestsnippet and httpierequestsnippet that it creates the would lead to the deprecation of curlrequest and httpierequest on clidocumentation as well as said was torn on this so if you don think the reasoning above is sound really like to hear any counter arguments
120,ok understand now also in favour of putting the default formatter in one place just wasn sure where should it be after looking at the code again think that clidocumentation should be good enough place to put it there but to have it done in clean way would propose the following changes curlrequestsnippet create copy of all constructors with an additional commandformatter parameter and deprecate the old ones clidocumentation create additional curlrequest method that takes attributes and commandformatter parameters additionally change all existing curlrequestsnippet constructors so that they will receive the default formatter curlrequestsnippettests add the additional formatter parameter to each curlrequestsnippet constructor or call the appropriate clidocumentation method the former option feels better since these are the curlrequestsnippet tests do understand that this is more or less the same that you have proposed in the first place but now it written in one place and it easier for me to see the whole picture
121,sounds good to me thanks very much
122,no clue why the maven step fails in travis and am aware that there should be an additional rebase afterwards
123,as discussed in it looks like we can do this with block macro processor written in ruby so going to close this one sorry for the wasted effort
124,thanks for the pr the change is now in master
125,this one proving tricker than thought it would think like the response cookies to be available from operationresponse in the same way that they are now available from operationrequest it not totally straightforward though with the cookies available via getcookies method we have to figure out what to do with the set cookie header with rest assured there be the same information in two places with mockmvc the cookies would just be available from getcookies unless we explicitly set the header as well as is being proposed here having the same information in two places has caused problems in the past projects spring restdocs issues so we need to tread carefully ll give it some more thought
126,was thinking about this doubled information as well came to the conclusion that cookie information should be expressed as header in operationresponse this is why didn convert cookies from getcookies method in restassuredresponseconverter my reasoning for that was that cookies from set cookie header carry some additional information apart from the name and value like domain httponly flag etc and it would be better to just pass them in restassuredresponseconverter now that thinking about it getting more convinced that maybe it would be better to have this information structured in more object oriented fashion and create responsecookie class similar to the requestcookie you ve introduced ll update this pr accordingly when we reach decision see that need to do rebase anyway probably should have mentioned this problem in the pr description sorry about that
127,rest assured and jersey test client for which there third party rest docs support both set the set cookie header automatically it be nice of mockmvc wasn the odd one out mockmvc is also bit inconsistent on its own if you use setter to configure the content type of request or response it automatically sets the content type header as well ve opened spr to see if removing that inconsistency is possibility the outcome of that issue will probably tell us what is the right thing to do here
128,it looks like spr is going to be fixed but only in think that means we should proceed with setting the set cookie header for mockmvc but only if it hasn already been set that should allow rest docs to work with both spring framework and
129,updated the pr is it what you had in mind
130,yes thanks this looks good we talked above about making the cookies in the response available from operationresponse but think that can wait until
131,thanks again this is now in master
132,great thanks for merging this
133,please sign the contributor license agreement repositoryid spring projects spring restdocs pullrequestid click here repositoryid spring projects spring restdocs pullrequestid to manually synchronize the status of this pull request see the faq for frequently asked questions
134,thank you for signing the contributor license agreement repositoryid spring projects spring restdocs pullrequestid
135,this appears to have been opened in error
136,nice thanks for the pr
137,glad you like it like to continue this with pr to support cookies in response snippets it feels that would need to use some of the code written already here so what are your plans on merging this
138,soon hope just catching up after the holidays sorry for the delay but it will definitely be in rc
139,thank you
140,thanks for the pr what the problem that it is trying to address had imagined that service could be tested locally using whatever context path is required and the host scheme and port can then be modified to reflect the real service
141,we are using zuul as gateway for our microservices so we write our tests locally and we would like to modify the uri to the uri as it is exposed on the gateway including the context path as it is configured in our zuul routes
142,rather than modifying the uri to have different context path why not just run your micro service locally with that context path when you re generating its documentation
143,you mean by overriding it in the test configuration to fake the path being used by the gateway thought it would be nicer to have it explicitly defined it would also allow me to specify the zuul specific configuration all together in the same place scheme host port path
144,you mean by overriding it in the test configuration to fake the path being used by the gateway yes for example if it were spring boot app you just set server context path foo when running the tests that generate the documentation it would also allow me to specify the zuul specific configuration all together in the same place scheme host port path can see the benefit to that but assuming that you can fake the context path not yet convinced that the added complexity in rest docs is worth it
145,ok will rewrite my tests like you suggest and maybe create some reusable factory methods reading the zuul configuration which will also allow me to have it in one place
146,thank you
147,since there is build failure with the maven sample should do the pr against the branch
148,thanks for the pr not sure what wrong with travis and haven had time to investigate the build green on bamboo pub change to base off would be great please that the branch where like this to land
149,closing in favour of
150,please sign the contributor license agreement repositoryid spring projects spring restdocs pullrequestid click here repositoryid spring projects spring restdocs pullrequestid to manually synchronize the status of this pull request see the faq for frequently asked questions
151,thank you for signing the contributor license agreement repositoryid spring projects spring restdocs pullrequestid
152,thanks for the pr the fix is now in and master
153,without making some other changes this isn quite right templatedsnippet deliberately doesn think in terms of files it just cares about writer then can write output to wherever you want the change proposed here would make templatesnippet aware of file based output see the need for some more flexibility though at the moment the snippet name is used for two purposes to find the snippet template to resolve the writer would separating these two so that the same template can be used to write multiple differently named snippets do what you need
154,probably it comes to the same thing in the end we need the template location and the output file not to share name necessarily
155,ok thanks for the pr ve opened to implement the alternative approach
156,please sign the contributor license agreement repositoryid spring projects spring restdocs pullrequestid click here repositoryid spring projects spring restdocs pullrequestid to manually synchronize the status of this pull request see the faq for frequently asked questions
157,thank you for signing the contributor license agreement repositoryid spring projects spring restdocs pullrequestid
158,take look at my issue comment to see how to use projects spring restdocs issues issuecomment
159,after realized how the imports are ordered in the project thought it might be benefit to have the same in the samples is there any convention to use fixed ordering in the productive code but not in the samples it is ok for me to revert this since it is not the scope of the pr issue and split it in two prs
160,is there any convention to use fixed ordering in the productive code but not in the samples unfortunately not the samples are different for no better reason than they haven been set up with the same code formatter settings it is ok for me to revert this since it is not the scope of the pr issue and split it in two prs yes of course thanks
161,update done don know if there is any automated github notification
162,resolved most of the review points see projects spring restdocs pull discussion now the changes should be backward compatible and removed the system property as configuration option btw thanks for the clear and helpful review
163,not at all thank you for the contribution there are just couple of things missing now updates to the samples to use the new macro updates to the docs happy to take care of those as part of merging this but if you like to tackle them it be much appreciated
164,started with the samples and found bug in the plugin or asciidoctor if use the macro in two separated files docs doca asc docs docb asc the second one will throw an exception on the first occurrence execution of the macro will investigate the problem in the next days for documentation purpose an excerpt of the stacktrace caused by org apache maven plugin pluginexecutionexception execution generate docs of goal org asciidoctor asciidoctor maven plugin process asciidoc failed org jruby exceptions raiseexception typeerror can dup nilclass at org apache maven plugin defaultbuildpluginmanager executemojo defaultbuildpluginmanager java at org apache maven lifecycle internal mojoexecutor execute mojoexecutor java more caused by org asciidoctor internal asciidoctorcoreexception org jruby exceptions raiseexception typeerror can dup nilclass at org asciidoctor internal jrubyasciidoctor renderfile jrubyasciidoctor java at org asciidoctor maven asciidoctormojo renderfile asciidoctormojo java at org asciidoctor maven asciidoctormojo execute asciidoctormojo java at org apache maven plugin defaultbuildpluginmanager executemojo defaultbuildpluginmanager java more caused by org jruby exceptions raiseexception typeerror can dup nilclass at org jruby rubykernel dup org jruby rubykernel java at ruby at ruby at org jruby gen interfaceimpl convertfile org jruby gen interfaceimpl gen short status update fixed the bug above but now struggling with reliable project dir and resulting snippet dir detection if maven or gradle are getting called from another directory than the project base directory
165,thanks for the pr gerrit ve merged it in projects spring restdocs commit ac acada cacc edf and made some tweaks in bd as mentioned in comment on realised that macro was overkill the tweaks update things to automatically configure the snippets attribute instead this means that the normal include macro is used which has the added bonus of side stepping the bug that you described above
166,also think that this is an cleaner solution than doing the conversion by hand that results in only html support you could have still use pdf or something else but the old macro would have generated html content and chatted about this pull request and the possibilities in asciidoctor to use other backends with my block macro there will only be chance with asciidoctorj to use other contexts than pass to get asciidoctor to compile the file content without wrapping it in some kind of section there is still problem with your changes and it is the same mentioned above it will only work if you start maven or gradle in the project directory it will search for the files relative to the execution directory pwd one way to archive this is to use document getattr docfile or document getattr docdir or maybe some other attribute you can find here in the manual manual also thanks to robert for giving me this hint
167,using docdir with maven combined with the working directory to get relative path from the adoc file to the snippets in my testing this seems to work with multi module builds but may have missed something using projectdir with gradle which makes things very straightforward this all happens in projects spring restdocs blob master spring restdocs asciidoctor src main java org springframework restdocs asciidoctor snippetsdirectoryresolver java
168,ve just realised that missed your update above about having fixed the bug and the directory problem sorry out of interest what was the cause of the bug
169,since had to convert the file manually needed new instance of asciidoctor after few days thinking it has to depend on the options object in ruby because this was the only object that was dupped in the source files realized that there is create method that accepts the class path as parameter with this set to the class path of the current class it was working again
170,this constructor needs to be kept both to allow the output directory to be overridden and to maintain backwards compatibility
171,this constructor needs to remain public both to allow the output directory to be overridden and to maintain backwards compatibility
172,while this class is deprecated and might be removed before is released for the time being at least this constructor needs to be kept both to allow the output directory to be overridden and to maintain backwards compatibility
173,this is os specific so it doesn belong in the repository gitignore it should go in your own global gitignore files create global gitignore instead
174,why is this suppression necessary
175,this looks like duplicate of line
176,if this copy is necessary rather do it as part of the test than in the gradle build so that it happens when running things in an ide too
177,restdocs is too generic as we may want to add more macros in the future think the macro should be called snippet
178,don think this class should be named as if it specific to particular macro imo restdocsextensionregistry is better name
179,don like the use of system property rest docs used one in the past but it didn work well when running individual tests in an ide typically the system property is only set in build gradle or pom xml so you ended up with different configuration for now at least happy for people who don want to use the conventional locations to have to override the location using the constructor argument to junitrestdocumentation or manualrestdocumentation and continuing to use include
180,asciidoctor needs to instantiate the macro using reflection if reduce the visibility of the constructor get org jruby exceptions raiseexception typeerror asciidoctor failed failed to parse source no public constructors for java orgspringframeworkrestdocsasciidoctorextensions restdocssnippetblockmacro don see any possibility to use another registration method and also provide the macro block name
181,thanks
182,looks great thanks very much
183,thanks again ve merged this into master
184,my pleasure
185,thanks once again
186,pousse this looks excellent thank you very much ve made one comment on the commit if you haven done so already can you please sign the cla projects spring restdocs blob master contributing md sign the contributor license agreement
187,see did not implement anything here because think users will firstly document the parts with org springframework restdocs request requestdocumentation partwithname and then document the content of the part that implies org springframework restdocs request requestpartssnippet verifyrequestpartdescriptors has already handled missing parts let me know
188,that certainly possible but may not always be the case think it would be more in keeping with the rest of the project if it failed fast with an exception messaging indicating that the part doesn exist
189,yep am adding test cases and will add this exception can throw the same error as here org springframework restdocs request requestpartssnippetfailuretests missingpart on fri jun at am andy wilkinson notifications com wrote that certainly possible but may not always be the case think it would be more in keeping with the rest of the project if it failed fast with an exception messaging indicating that the part doesn exist you are receiving this because you were mentioned reply to this email directly view it on github projects spring restdocs pull issuecomment or mute the thread mathieu pousse pousse zenika ouest rue de la monnaie rennes
190,yep that be perfect thanks
191,here we are
192,pousse thanks again for the pr the changes are now in master
193,wonder if this should fail fast here rather than failing later when documented field in the part isn found
194,thanks for the pr
195,thanks very much
196,as said on like the idea however have feeling that this implementation is heavier than it needs to be it is only feeling at this stage sorry for not having anything more concrete at the moment but didn want to appear to be ignoring this pr and haven yet had time to investigate whether or not my feeling is right or not
197,no worries know how it is with non trivial prs kinda had the same feeling about it being bloated maybe was trying to make it too configurable
198,disagree like to see the table in the current alphabetical ordering
199,don like the proposed ordering either and prefer alphabetical although grails is in the wrong place at the moment perhaps it would make sense to split things up into three tables mockmvc containing spring data rest and spring hateoas rest assured containing grails and rest assured advanced containing slate and testng
200,closing in favour of
201,thank you this should just manage to squeeze into have you signed the cla projects spring restdocs blob master contributing md sign the contributor license agreement
202,sorry please ignore the above about the cla can see that you ve already signed thanks again
203,you re welcome and yes signed the cla first please let me know if you need the confirmation number
204,thanks for the pr the changes are now in master
205,thanks for the pr have you signed the cla projects spring restdocs blob master contributing md sign the contributor license agreement
206,yes just signed the cla
207,thanks again for the pr it been merged into master
208,thanks for the pr merged into master in projects spring restdocs commit fa decef ece
209,thanks for the pr but don want to duplicate information from the docs in the readme the details in the readme are intended to describe what required to build the project while the reference docs describe the requirements to use rest docs ve opened to clarify things including linking to the reference docs from the readme
210,merged see projects spring restdocs commit aeed bd ed aa thanks for the pr
211,thanks for the pr this looks excellent ve made few comments on the diff commits for your consideration
212,thanks for the pr this looks excellent ve made few comments on the diff commits for your consideration thanks for your review ve made bunch of the changes you requested and commented on the others
213,unfortunately can see your comments wonder if that my fault for making some comments on your commits rather than on the pull request diff they may have got lost when you pushed up your latest changes if you can remember what you said and where would you mind posting the comments on the diff please
214,wonder if that my fault for making some comments on your commits rather than on the pull request diff yeah when force pushed the updates those comments were lost along with the commits pushed branch httpie old from my reflog and thankfully it looks like github kept the comments against the old hashes see them here restdocs commits httpie old
215,reflog saves the day once again thank you ve added few responses think we re almost there now
216,round everything resolved except for the filename issue with the process substitution see my reply restdocs commit fdbc fca be bd commitcomment
217,thanks again for the pr ve merged it into master along with little bit of polish projects spring restdocs commit bc aee adbeeaa
218,thanks again for the pr ve merged it into master along with little bit of polish great
219,all of the authors of the original curlrequestsnippet should also be credited here
220,snippetname and attributes do not need to be final
221,alternatively an extra method removematchingheaders could be added guess its more or less matter of taste loose typing vs api inflation
222,thanks for the pr not keen on removeheaders taking an object do like that it lets you mix patterns and strings but imo that outweighed by the loss of type safety prefer to either have removematchingheaders string pattern or overload removeheaders with removeheaders pattern pattern leaning towards the former as the user doesn have to call pattern compile and the method name makes it clear that there some matching involved
223,ok updated the pr accordingly and rebased
224,thanks very much for the pr ve merged it into master made few changes along the way please take look at projects spring restdocs commit fa ee dbbf eb dec if you re interested
225,thanks for picking it up and also for tuning the code looks indeed nicer that way
226,thanks for the pr ve merged the change into and master
227,oops thanks very much did you use tool to find this checkstyle integrated into the build and the ci jobs also run sonar neither of them caught it
228,sonar should have the bug pattern but don know if its activated on default found this with findbugs
229,sonar should have the bug pattern but don know if its activated on default thanks it activated in the profile using now worried what else have false sense of security about
230,sorry that you found this confusing the need to use prepare package if you want to include the documentation in the jar file is mentioned in the call out referenced by if you want to package the documentation in your project jar you should use the prepare package phase it also mentioned again in the packaging the documentation restdocs docs current reference html getting started build configuration maven packaging section first configure the asciidoctor plugin so that it runs in the prepare package phase as described above if you have suggestions for how to make this clearer definitely like to hear them however can merge this change in its current form as it ll mean that the sections mentioned above among others no longer make sense
231,thank you for your comment found had misunderstood updated pr to explain the phase explicitly how do you think
